Respondent ID,First Active,Age,Gender,Ethnic,education,driving license,years income,Disability,frequent,remember the last trip,weekday or weekend,time,Purpose,Speed,Comfort,Maneuverability of the vehicle,Time Availability (I can find one when I need it),Place Availability (I can find one where I need it),Coverage (It can take me where I need to go),Usability of the app,Customer service,Trip Fare,Safety,Space on the roads should be re-distributed to make room for e-scooters,E-scooters are dangerous for people who use them,E-scooters are dangerous for pedestrians,E-scooters are dangerous for cyclists,E-scooters are dangerous for people driving motor vehicles,Shared e-scooter apps are too difficult to use,Not everybody has the physical and cognitive skills to ride a e-scooter,Riding e-scooters makes people feel free,Riding e-scooters makes people happy,Riding e-scooters makes people feel more independent,Riding an e-scooter is more sustainable than using other modes of transport,Shared e-scooters are difficult to find,Shared e-scooters are not available in my neighbourhood,A person is safe from crime when using e-scooters,The design of e-scooters is not appropriate for my height or weight,I am not sure about which road rules apply to e-scooters,A person is safe from sexual harassment when using e-scooters,Late at night,When it is raining,When the weather is too hot,When the weather is too cold
4e3omi7giz33,2022-07-04 10:19:39,31-35,Male,Latin American,Post-graduate degree,Yes,"£40,000 - £60,000",No,Once or twice per month,Yes,Weekday,8:00 - 10:00 (am),Work,4,3,4,3,2,2,4,2,2,3,3,2,3,2,1,2,5,4,3,3,4,3,1,4,1,4,4,4,2,4,1
23tv9y39h979,2022-07-04 12:58:49,35-50,Female,White,Post-graduate degree,Yes,"£20,000 - £40,000",No,Occasionally (one or two times during the last six months),Yes,Weekday,2:00 - 4:00 (pm),Leisure/recreation at the destination,4,3,3,5,3,2,3,4,2,3,5,2,2,1,1,4,5,3,3,3,1,2,5,4,3,1,2,3,3,4,4
8ej2nr2yye29,2022-07-04 14:07:59,26-30,Male,Any other Asian Background,College or university,No,"£0 - £20,000",No,Occasionally (one or two times during the last six months),Yes,Weekday,10:00 - 12:00 (am),Study,1,2,4,3,2,2,2,2,3,3,4,3,3,2,2,1,4,4,4,4,3,3,1,1,1,2,2,3,0,2,2
3ya3roc7bk84,2022-07-05 09:27:56,26-30,Male,White,College or university,Yes,"£40,000 - £60,000",No,Occasionally (one or two times during the last six months),Yes,Weekend,10:00 - 12:00 (am),Going Home,4,4,4,2,2,2,5,4,2,3,5,2,2,1,1,1,3,5,5,5,3,4,4,3,1,1,2,4,0,5,4
623s3bn92438,2022-07-05 18:33:55,26-30,Female,White,College or university,Yes,"£60,000 - £80,000",No,More than two times per week,Yes,Weekday,6:00 - 8:00 (am),Leisure/recreation at the destination,2,4,4,5,2,2,4,5,3,5,5,1,2,1,1,1,4,5,5,5,5,2,1,3,1,1,1,5,1,5,1
8r8ujl7geb79,2022-07-07 16:07:55,26-30,Male,African,College or university,Yes,"£40,000 - £60,000",Yes,Occasionally (one or two times during the last six months),Yes,Weekday,12:00 - 2:00 (pm),Work,3,3,3,3,3,3,3,3,3,3,3,2,2,2,3,2,4,3,3,3,3,3,2,3,3,4,3,2,2,4,2
9rjo3kyt6ys9,2022-07-08 08:57:43,20-25,Female,Caribbean,"Higher or secondary for further education (A-levels, BTEC, etc)",Yes,"£0 - £20,000",No,Occasionally (one or two times during the last six months),Yes,Weekend,2:00 - 4:00 (pm),Leisure/recreation using the e-scooter (for fun),4,3,3,3,2,2,4,2,1,3,4,2,4,1,1,3,5,4,4,5,3,3,4,5,2,3,4,0,1,4,2
8e3tt6w3pr29,2022-07-08 22:55:07,18-20,Male,White,"Higher or secondary for further education (A-levels, BTEC, etc)",Yes,"£0 - £20,000",No,Occasionally (one or two times during the last six months),Yes,Weekend,12:00 - 2:00 (pm),Leisure/recreation at the destination,4,4,3,2,3,2,4,3,2,3,5,1,3,1,1,1,4,4,4,5,3,3,3,4,2,2,4,4,3,4,2
8ym8rif2vyb8,2022-07-09 08:38:15,20-25,Male,White,Post-graduate degree,Yes,"£20,000 - £40,000",No,Once or twice per month,Yes,Weekday,4:00 - 6:00 (pm),Going Home,3,2,4,3,2,2,3,4,1,2,3,3,3,3,1,3,5,3,4,3,3,3,2,1,1,1,2,4,2,5,4
8do2vu73wtu8,2022-07-09 10:23:27,35-50,Non-Binary,African,College or university,Yes,"more than £80,000",No,Occasionally (one or two times during the last six months),Yes,Weekend,10:00 - 12:00 (am),Shopping,4,2,2,4,5,5,3,3,5,3,4,3,4,2,2,1,4,4,4,4,5,2,1,3,3,4,4,1,1,4,2
9a3h7jod7gm9,2022-07-09 14:22:08,20-25,Male,Any other white background,College or university,Yes,"£20,000 - £40,000",No,Once or twice per month,Yes,Weekday,6:00 - 8:00 (pm),Going Home,4,3,3,4,4,3,4,2,2,3,5,1,3,1,1,2,4,4,3,4,5,2,3,4,1,3,4,4,2,4,4
4i2ehd263no6,2022-07-10 23:16:37,26-30,Non-Binary,White,Post-graduate degree,Yes,"£60,000 - £80,000",No,Occasionally (one or two times during the last six months),Yes,Weekend,12:00 - 2:00 (pm),Visiting friends or family,3,2,2,4,3,3,4,3,3,2,4,2,3,1,1,2,5,5,3,3,2,3,2,2,4,2,3,1,0,4,1
4x4dw6dch793,2022-07-11 15:50:59,20-25,Non-Binary,White and Black Caribbean,"Higher or secondary for further education (A-levels, BTEC, etc)",Yes,"£0 - £20,000",No,Occasionally (one or two times during the last six months),Yes,Weekday,6:00 - 8:00 (pm),Going Home,4,2,2,4,2,3,2,1,4,2,4,3,3,2,2,3,4,5,4,4,4,3,3,4,2,3,1,3,1,4,1
63h2cfi24vc6,2022-07-11 21:36:00,35-50,Male,White,Post-graduate degree,Yes,"£40,000 - £60,000",No,Occasionally (one or two times during the last six months),Yes,Weekday,4:00 - 6:00 (pm),Leisure/recreation at the destination,3,3,3,3,2,3,4,4,4,3,2,2,2,2,1,1,4,3,3,3,2,2,3,3,1,1,2,4,2,4,4
66vir4e7fif7,2022-07-11 22:24:45,31-35,Female,White,College or university,Yes,"£20,000 - £40,000",No,Once per week,Yes,Weekday,4:00 - 6:00 (pm),Work,4,4,2,2,5,5,5,3,3,4,4,2,1,1,2,1,3,4,4,4,4,1,1,5,1,1,5,5,2,5,5
